pin10,sfha2018,sfha2024,prelimsfha,lomr2018,lomr2024,EFF_DATlomr2018,EFF_DATlomr2024,n
0120201016,1,1,0,0,0,NA,NA,1
0120201017,1,1,1,0,0,NA,NA,1
0120402005,1,1,1,0,0,NA,NA,1
0121100003,1,1,0,0,0,NA,NA,1
0121100006,1,1,1,0,0,NA,NA,1
0121102004,1,1,1,0,0,NA,NA,1
0121205002,1,1,1,0,0,NA,NA,1
0121205006,1,1,1,0,0,NA,NA,1
0121206014,0,0,1,0,0,NA,NA,1
0122300005,1,1,1,0,0,NA,NA,1
0122301001,1,1,1,0,0,NA,NA,1
0122301002,1,1,1,0,0,NA,NA,1
0122301003,1,1,1,0,0,NA,NA,1
0122301008,1,1,0,0,0,NA,NA,1
0122301009,1,1,0,0,0,NA,NA,1
0122301012,1,1,0,0,0,NA,NA,1
0122301013,1,1,0,0,0,NA,NA,1
0122301014,1,1,0,0,0,NA,NA,1
0122302002,1,1,1,0,0,NA,NA,1
0122302003,1,1,1,0,0,NA,NA,1
0122302004,1,1,1,0,0,NA,NA,1
0122302005,1,1,1,0,0,NA,NA,1
0122302009,1,1,0,0,0,NA,NA,1
0122400005,1,1,0,0,0,NA,NA,1
0122400017,0,0,1,0,0,NA,NA,1
0122400021,0,0,1,0,0,NA,NA,1
0122400022,0,0,1,0,0,NA,NA,1
0122400023,0,0,1,0,0,NA,NA,1
0122400024,0,0,1,0,0,NA,NA,1
0122400025,0,0,1,0,0,NA,NA,1
0122400026,0,0,1,0,0,NA,NA,1
0122400027,0,0,1,0,0,NA,NA,1
0122400028,0,0,1,0,0,NA,NA,1
0122400029,0,0,1,0,0,NA,NA,1
0122400030,0,0,1,0,0,NA,NA,1
0122400031,0,0,1,0,0,NA,NA,1
0122400032,0,0,1,0,0,NA,NA,1
0122400033,0,0,1,0,0,NA,NA,1
0122400034,0,0,1,0,0,NA,NA,1
0122400035,0,0,1,0,0,NA,NA,1
0122400053,1,1,0,0,0,NA,NA,1
0122400054,1,1,0,0,0,NA,NA,1
0122400055,1,1,0,0,0,NA,NA,1
0122400056,1,1,0,0,0,NA,NA,1
0122400057,1,1,1,0,0,NA,NA,1
0122400058,1,1,1,0,0,NA,NA,1
0122400059,1,1,1,0,0,NA,NA,1
0122400060,1,1,1,0,0,NA,NA,1
0122400061,1,1,1,0,0,NA,NA,1
0122400062,1,1,1,0,0,NA,NA,1
0122400063,1,1,1,0,0,NA,NA,1
0122400064,1,1,1,0,0,NA,NA,1
0122400065,0,0,1,0,0,NA,NA,1
0122400074,0,0,1,0,0,NA,NA,1
0122400081,0,0,1,0,0,NA,NA,1
0122400082,0,0,1,0,0,NA,NA,1
0122400083,1,1,0,0,0,NA,NA,1
0122400084,1,1,0,0,0,NA,NA,1
0124100006,1,1,1,0,0,NA,NA,1
0124200001,1,1,1,0,0,NA,NA,1
0124400027,0,0,1,0,0,NA,NA,1
0124400028,0,0,1,0,0,NA,NA,1
0124400029,0,0,1,0,0,NA,NA,1
0124400030,0,0,1,0,0,NA,NA,1
0124400031,0,0,1,0,0,NA,NA,1
0124400032,0,0,1,0,0,NA,NA,1
0125100031,1,1,1,0,0,NA,NA,1
0125100040,1,1,1,0,0,NA,NA,1
0125100045,1,1,1,0,0,NA,NA,1
0125100055,1,1,1,0,0,NA,NA,1
0125300007,1,1,1,0,0,NA,NA,1
0125301003,1,1,1,0,0,NA,NA,1
0126102005,1,1,1,0,0,NA,NA,1
0126104001,1,1,1,0,0,NA,NA,1
0126104002,1,1,1,0,0,NA,NA,1
0126104003,1,1,1,0,0,NA,NA,1
0126104004,1,1,1,0,0,NA,NA,1
0126104005,1,1,1,0,0,NA,NA,1
0126104007,1,1,1,0,0,NA,NA,1
0126202008,1,1,1,0,0,NA,NA,1
0126202009,1,1,1,0,0,NA,NA,1
0126202011,1,1,0,0,0,NA,NA,1
0126202012,1,1,1,0,0,NA,NA,1
0126202013,1,1,1,0,0,NA,NA,1
0126202014,1,1,0,0,0,NA,NA,1
0126202015,1,1,1,0,0,NA,NA,1
0126202016,1,1,1,0,0,NA,NA,1
0126203026,1,1,1,0,0,NA,NA,1
0126204005,1,1,1,0,0,NA,NA,1
0126204006,1,1,1,0,0,NA,NA,1
0126204007,1,1,1,0,0,NA,NA,1
0126204008,1,1,1,0,0,NA,NA,1
0126204012,1,1,1,0,0,NA,NA,1
0126204013,1,1,1,0,0,NA,NA,1
0126204014,1,1,1,0,0,NA,NA,1
0126206007,1,1,1,0,0,NA,NA,1
0126207006,1,1,1,0,0,NA,NA,1
0126300025,1,1,1,0,0,NA,NA,1
0126301014,1,1,1,0,0,NA,NA,1
0126301015,1,1,1,0,0,NA,NA,1
0126301016,1,1,1,0,0,NA,NA,1
0126301019,1,1,1,0,0,NA,NA,1
