tax_code_num,agency_num,agency_name,minor_type
72092,030210000,CITY OF CHICAGO,MUNI
72093,030210000,CITY OF CHICAGO,MUNI
72094,030210000,CITY OF CHICAGO,MUNI
72095,030210000,CITY OF CHICAGO,MUNI
72096,030210000,CITY OF CHICAGO,MUNI
72097,030210000,CITY OF CHICAGO,MUNI
72098,030210000,CITY OF CHICAGO,MUNI
72099,030210000,CITY OF CHICAGO,MUNI
72100,030210000,CITY OF CHICAGO,MUNI
72101,030210000,CITY OF CHICAGO,MUNI
72102,030210000,CITY OF CHICAGO,MUNI
72103,030210000,CITY OF CHICAGO,MUNI
72104,030210000,CITY OF CHICAGO,MUNI
72105,030210000,CITY OF CHICAGO,MUNI
72106,030210000,CITY OF CHICAGO,MUNI
72107,030210000,CITY OF CHICAGO,MUNI
72108,030210000,CITY OF CHICAGO,MUNI
72109,030210000,CITY OF CHICAGO,MUNI
72110,030210000,CITY OF CHICAGO,MUNI
72111,030210000,CITY OF CHICAGO,MUNI
72112,030210000,CITY OF CHICAGO,MUNI
72113,030210000,CITY OF CHICAGO,MUNI
72114,030210000,CITY OF CHICAGO,MUNI
72115,030210000,CITY OF CHICAGO,MUNI
72116,030210000,CITY OF CHICAGO,MUNI
72117,030210000,CITY OF CHICAGO,MUNI
72118,030210000,CITY OF CHICAGO,MUNI
72119,030210000,CITY OF CHICAGO,MUNI
72120,030210000,CITY OF CHICAGO,MUNI
72121,030210000,CITY OF CHICAGO,MUNI
72122,030210000,CITY OF CHICAGO,MUNI
72123,030210000,CITY OF CHICAGO,MUNI
72124,030210000,CITY OF CHICAGO,MUNI
72125,030210000,CITY OF CHICAGO,MUNI
72126,030210000,CITY OF CHICAGO,MUNI
72127,030210000,CITY OF CHICAGO,MUNI
72128,030210000,CITY OF CHICAGO,MUNI
72129,030210000,CITY OF CHICAGO,MUNI
72130,030210000,CITY OF CHICAGO,MUNI
72131,030210000,CITY OF CHICAGO,MUNI
72132,030210000,CITY OF CHICAGO,MUNI
73001,030210000,CITY OF CHICAGO,MUNI
73002,030210000,CITY OF CHICAGO,MUNI
73003,030210000,CITY OF CHICAGO,MUNI
73004,030210000,CITY OF CHICAGO,MUNI
73005,030210000,CITY OF CHICAGO,MUNI
73006,030210000,CITY OF CHICAGO,MUNI
73007,030210000,CITY OF CHICAGO,MUNI
73009,030210000,CITY OF CHICAGO,MUNI
73010,030210000,CITY OF CHICAGO,MUNI
73011,030210000,CITY OF CHICAGO,MUNI
73012,030210000,CITY OF CHICAGO,MUNI
73013,030210000,CITY OF CHICAGO,MUNI
73014,030210000,CITY OF CHICAGO,MUNI
73015,030210000,CITY OF CHICAGO,MUNI
73016,030210000,CITY OF CHICAGO,MUNI
73017,030210000,CITY OF CHICAGO,MUNI
73018,030210000,CITY OF CHICAGO,MUNI
73019,030210000,CITY OF CHICAGO,MUNI
73020,030210000,CITY OF CHICAGO,MUNI
73021,030210000,CITY OF CHICAGO,MUNI
73022,030210000,CITY OF CHICAGO,MUNI
73023,030210000,CITY OF CHICAGO,MUNI
73024,030210000,CITY OF CHICAGO,MUNI
73025,030210000,CITY OF CHICAGO,MUNI
73026,030210000,CITY OF CHICAGO,MUNI
73027,030210000,CITY OF CHICAGO,MUNI
73028,030210000,CITY OF CHICAGO,MUNI
73029,030210000,CITY OF CHICAGO,MUNI
73030,030210000,CITY OF CHICAGO,MUNI
